chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1653520381,2022-05-25T23:13:01Z,KF7HTS-8,KF7HTS-8,15(5/5),1,!,KF7HTS-8,/n,47.611000,-122.589333,7.0,16.0,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,KF7HTS
0,1653520515,2022-05-25T23:15:15Z,KG7QEC-11,KG7QEC-11,34(9/16),0,/,KG7QEC-11,/O,47.607500,-122.540833,0.0,0.0,9.4,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.44/TB=21.25/V=7572 BISEA
0,1653520529,2022-05-25T23:15:29Z,N7TUG-8,JUPITR,70(30/26),0,_,N7TUG-8,/s,,,,,,,,,>40 APRSmax,,,
0,1653520530,2022-05-25T23:15:30Z,KG7QEC-11,KG7QEC-11,33(8/17),0,/,KG7QEC-11,/O,47.607500,-122.540833,0.0,0.0,8.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.44/TB=21.31/V=7593 BISEA
0,1653520545,2022-05-25T23:15:45Z,KG7QEC-11,KG7QEC-11,34(9/17),0,/,KG7QEC-11,/O,47.607500,-122.540833,0.0,0.0,7.6,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.31/TB=21.38/V=7593 BISEA
0,1653520551,2022-05-25T23:15:51Z,JUPITR,ERINB,62(26/28),0,!,JUPITR,B#,47.695000,-122.967500,,,,,,,Kantronics KPC-3 rom versions,,, MT. JUPITER K7IDX
0,1653520560,2022-05-25T23:16:00Z,KG7QEC-11,KG7QEC-11,34(9/16),0,/,KG7QEC-11,/O,47.607500,-122.540833,0.0,0.0,7.3,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.25/TB=21.38/V=7536 BISEA
0,1653520563,2022-05-25T23:16:03Z,WA7LAW,JUPITR,68(31/25),0,@,WA7LAW,I&,47.998667,-122.195833,,,,,,,SQ3PLX http://microsat.com.pl/,,,"WX3in1Plus2.0 U=15.3V,T=??.?C/??.?F"
0,1653520567,2022-05-25T23:16:07Z,KF7HTS-8,KF7HTS-8,57(25/25),0,!,KF7HTS-8,/n,47.617500,-122.588667,7.0,6.0,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,KF7HTS
0,1653520573,2022-05-25T23:16:13Z,ERINB,ERINB,61(26/27),0,$,ERINB,/ ,,,,,,,,,Kantronics KPC-3 rom versions,,,
0,1653520575,2022-05-25T23:16:15Z,KG7QEC-11,KG7QEC-11,35(8/15),0,/,KG7QEC-11,/O,47.607500,-122.540833,0.0,0.0,1.8,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.44/TB=21.44/V=7593 BISEA
0,1653520578,2022-05-25T23:16:18Z,N7TUG-8,JUPITR,70(29/27),0,!,N7TUG-8,/s,47.667000,-122.393000,,,,,,,>40 APRSmax,,,/Ballard WA
0,1653520605,2022-05-25T23:16:45Z,KG7QEC-11,KG7QEC-11,33(9/16),0,/,KG7QEC-11,/O,47.607333,-122.541000,0.0,0.0,4.3,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.19/TB=21.50/V=7536 BISEA
0,1653520613,2022-05-25T23:16:53Z,NG7N,ERINB?,61(25/28),0,@,NG7N,/_,47.651667,-122.405333,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1653520620,2022-05-25T23:17:00Z,KG7QEC-11,KG7QEC-11,34(9/16),0,/,KG7QEC-11,/O,47.607333,-122.540833,0.0,0.0,5.5,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.13/TB=21.50/V=7536 BISEA
0,1653520629,2022-05-25T23:17:09Z,KF7HTS-8,KF7HTS-8,58(25/24),0,!,KF7HTS-8,/n,47.619500,-122.588500,7.0,2.0,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,KF7HTS
0,1653520634,2022-05-25T23:17:14Z,WA7DEM-3,ERINB?,67(26/32),0,:,WA7DEM-3,/f,,,,,,,,,Tiny Track III,,,
0,1653520635,2022-05-25T23:17:15Z,KG7QEC-11,KG7QEC-11,33(8/16),0,/,KG7QEC-11,/O,47.607500,-122.540833,0.0,0.0,3.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=21.25/TB=21.56/V=7536 BISEA
0,1653520641,2022-05-25T23:17:21Z,KJ7ZPM-4,VCAPK?,42(13/20),0,/,KJ7ZPM-4,/-,47.045167,-124.079167,,,,,,,SQ3PLX http://microsat.com.pl/,,,APRS Voyager U=13.5V.
