chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1651017607,2022-04-27T00:00:07Z,KG7QEC-11,KG7QEC-11,84(28/35),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,91.7,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.75/TB=12.63/V=6670 BISEA
0,1651017622,2022-04-27T00:00:22Z,KG7QEC-11,KG7QEC-11,84(27/35),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,88.4,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.75/TB=12.63/V=6690 BISEA
0,1651017637,2022-04-27T00:00:37Z,KG7QEC-11,KG7QEC-11,84(28/34),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,89.9,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.75/TB=12.69/V=6690 BISEA
0,1651017652,2022-04-27T00:00:52Z,KG7QEC-11,KG7QEC-11,84(28/35),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,88.7,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.81/TB=12.69/V=6670 BISEA
0,1651017667,2022-04-27T00:01:07Z,KG7QEC-11,KG7QEC-11,85(27/38),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,85.6,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.81/TB=12.69/V=6690 BISEA
0,1651017682,2022-04-27T00:01:22Z,KG7QEC-11,KG7QEC-11,85(27/35),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,82.3,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.81/TB=12.69/V=6670 BISEA
0,1651017697,2022-04-27T00:01:37Z,KG7QEC-11,KG7QEC-11,83(28/37),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,90.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.88/TB=12.69/V=6690 BISEA
0,1651017712,2022-04-27T00:01:52Z,KG7QEC-11,KG7QEC-11,85(28/37),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,99.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.81/TB=12.69/V=6670 BISEA
0,1651017727,2022-04-27T00:02:07Z,KG7QEC-11,KG7QEC-11,85(28/34),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,101.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.81/TB=12.75/V=6690 BISEA
0,1651017742,2022-04-27T00:02:22Z,KG7QEC-11,KG7QEC-11,84(28/36),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,93.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.88/TB=12.75/V=6690 BISEA
0,1651017757,2022-04-27T00:02:37Z,KG7QEC-11,KG7QEC-11,84(27/37),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,84.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.88/TB=12.69/V=6690 BISEA
0,1651017772,2022-04-27T00:02:52Z,KG7QEC-11,KG7QEC-11,84(28/35),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,74.7,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.88/TB=12.75/V=6690 BISEA
0,1651017787,2022-04-27T00:03:07Z,KG7QEC-11,KG7QEC-11,84(28/37),0,/,KG7QEC-11,/O,47.607833,-122.541000,0.0,0.0,72.5,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=12.94/TB=12.81/V=6690 BISEA
0,1651017802,2022-04-27T00:03:22Z,KG7QEC-11,KG7QEC-11,83(28/36),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,76.5,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.00/TB=12.81/V=6670 BISEA
0,1651017817,2022-04-27T00:03:37Z,KG7QEC-11,KG7QEC-11,83(27/37),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,77.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.00/TB=12.88/V=6690 BISEA
0,1651017832,2022-04-27T00:03:52Z,KG7QEC-11,KG7QEC-11,83(28/35),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,78.9,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.06/TB=12.88/V=6670 BISEA
0,1651017847,2022-04-27T00:04:07Z,KG7QEC-11,KG7QEC-11,82(27/36),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,81.7,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.06/TB=12.88/V=6690 BISEA
0,1651017862,2022-04-27T00:04:22Z,KG7QEC-11,KG7QEC-11,85(28/37),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,82.3,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.06/TB=12.88/V=6670 BISEA
0,1651017877,2022-04-27T00:04:37Z,KG7QEC-11,KG7QEC-11,84(28/36),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,79.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.06/TB=12.88/V=6690 BISEA
0,1651017892,2022-04-27T00:04:52Z,KG7QEC-11,KG7QEC-11,84(28/34),0,/,KG7QEC-11,/O,47.607667,-122.540833,0.0,0.0,79.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.00/TB=12.81/V=6690 BISEA
0,1651017907,2022-04-27T00:05:07Z,KG7QEC-11,KG7QEC-11,82(28/35),0,/,KG7QEC-11,/O,47.607667,-122.540833,0.0,0.0,78.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.06/TB=12.94/V=6670 BISEA
0,1651017922,2022-04-27T00:05:22Z,KG7QEC-11,KG7QEC-11,84(27/36),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,79.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.00/TB=12.88/V=6690 BISEA
0,1651017937,2022-04-27T00:05:37Z,KG7QEC-11,KG7QEC-11,83(27/36),0,/,KG7QEC-11,/O,47.607667,-122.541000,0.0,0.0,75.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.00/TB=12.88/V=6670 BISEA
0,1651017952,2022-04-27T00:05:52Z,KG7QEC-11,KG7QEC-11,85(28/37),0,/,KG7QEC-11,/O,47.607667,-122.540833,0.0,0.0,73.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.06/TB=12.88/V=6690 BISEA
0,1651017967,2022-04-27T00:06:07Z,KG7QEC-11,KG7QEC-11,83(28/36),0,/,KG7QEC-11,/O,47.607667,-122.540833,0.0,0.0,79.9,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=13.06/TB=12.94/V=6690 BISEA
