chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,telemetry,comment
0,1651868102,2022-05-06T20:15:02Z,KG7QEC-11,KG7QEC-11,131(34/59),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,4.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=10.44/TB=11.06/V=6964 BISEA
0,1651868117,2022-05-06T20:15:17Z,KG7QEC-11,KG7QEC-11,35(9/17),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,4.3,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=10.44/TB=11.06/V=6944 BISEA
0,1651868132,2022-05-06T20:15:32Z,KG7QEC-11,KG7QEC-11,35(9/16),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,4.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=10.50/TB=11.13/V=6924 BISEA
0,1651868147,2022-05-06T20:15:47Z,KG7QEC-11,KG7QEC-11,35(9/15),0,/,KG7QEC-11,/O,47.623000,-122.537333,0.0,0.0,3.4,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=10.63/TB=11.13/V=6924 BISEA
0,1651868162,2022-05-06T20:16:02Z,KG7QEC-11,KG7QEC-11,35(8/16),0,/,KG7QEC-11,/O,47.623000,-122.537333,0.0,0.0,3.7,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=10.63/TB=11.19/V=6924 BISEA
0,1651868177,2022-05-06T20:16:17Z,KG7QEC-11,KG7QEC-11,34(9/15),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,2.4,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=10.63/TB=11.19/V=6944 BISEA
0,1651868192,2022-05-06T20:16:32Z,KG7QEC-11,KG7QEC-11,35(9/15),0,/,KG7QEC-11,/O,47.623000,-122.537333,0.0,0.0,2.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=10.69/TB=11.19/V=6944 BISEA
0,1651868207,2022-05-06T20:16:47Z,KG7QEC-11,KG7QEC-11,34(9/17),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,1.2,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=10.81/TB=11.31/V=6944 BISEA
0,1651868222,2022-05-06T20:17:02Z,KG7QEC-11,KG7QEC-11,34(8/17),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,0.6,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=10.88/TB=11.25/V=6944 BISEA
0,1651868237,2022-05-06T20:17:17Z,KG7QEC-11,KG7QEC-11,35(9/16),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=10.94/TB=11.38/V=6944 BISEA
0,1651868252,2022-05-06T20:17:32Z,KG7QEC-11,KG7QEC-11,35(8/16),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.06/TB=11.38/V=6944 BISEA
0,1651868267,2022-05-06T20:17:47Z,KG7QEC-11,KG7QEC-11,34(8/17),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.13/TB=11.44/V=6924 BISEA
0,1651868282,2022-05-06T20:18:02Z,KG7QEC-11,KG7QEC-11,34(9/17),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,2.7,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.19/TB=11.50/V=6944 BISEA
0,1651868297,2022-05-06T20:18:17Z,KG7QEC-11,KG7QEC-11,35(9/16),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,1.8,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.25/TB=11.56/V=6944 BISEA
0,1651868312,2022-05-06T20:18:32Z,KG7QEC-11,KG7QEC-11,34(8/17),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,2.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.31/TB=11.69/V=6944 BISEA
0,1651868327,2022-05-06T20:18:47Z,KG7QEC-11,KG7QEC-11,34(9/16),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,2.7,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.31/TB=11.75/V=6944 BISEA
0,1651868342,2022-05-06T20:19:02Z,KG7QEC-11,KG7QEC-11,34(8/17),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,3.4,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.44/TB=11.75/V=6944 BISEA
0,1651868357,2022-05-06T20:19:17Z,KG7QEC-11,KG7QEC-11,35(9/16),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,3.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.31/TB=11.81/V=6944 BISEA
0,1651868372,2022-05-06T20:19:32Z,KG7QEC-11,KG7QEC-11,34(9/17),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,2.1,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.25/TB=11.81/V=6944 BISEA
0,1651868387,2022-05-06T20:19:47Z,KG7QEC-11,KG7QEC-11,35(9/16),0,/,KG7QEC-11,/O,47.623167,-122.537500,0.0,0.0,1.8,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.25/TB=11.81/V=6944 BISEA
0,1651868402,2022-05-06T20:20:02Z,KG7QEC-11,KG7QEC-11,34(9/16),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,1.5,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.31/TB=11.88/V=6944 BISEA
0,1651868417,2022-05-06T20:20:17Z,KG7QEC-11,KG7QEC-11,35(8/16),0,/,KG7QEC-11,/O,47.623167,-122.537333,0.0,0.0,1.8,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.25/TB=11.94/V=6924 BISEA
0,1651868432,2022-05-06T20:20:32Z,KG7QEC-11,KG7QEC-11,35(9/16),0,/,KG7QEC-11,/O,47.623167,-122.537500,0.0,0.0,0.0,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,/TA=11.31/TB=11.94/V=6944 BISEA
